100110,Andy Maus,North East,CrossFit Newton,CrossFit Newton,Male,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100111,duprie moon sr,Central East,CrossFit OTR,CrossFit On The River OTR,Male,44,6'1",225 lb,--,--,--,--,--,--,--,--,--,--,--,--
100112,Josh Owen,Central East,CrossFit Knights,CrossFit Knights,Male,31,5'9",175 lb,7:04,--,--,--,--,--,22:26,185 lb,135 lb,415 lb,285 lb,--
100113,Kenny Kuykendall,South Central,Crossfit PRx,CrossFit PRX,Male,25,6'0",255 lb,6:30,--,6:50,--,--,--,30:12,185 lb,125 lb,375 lb,315 lb,--
100114,Kinsey McInturf,Central East,CrossFit Legacy,CrossFit Legacy,Male,28,6'0",210 lb,--,--,2:50,--,--,--,--,235 lb,185 lb,--,375 lb,--
100115,Amy Bielski,Mid Atlantic,CrossFit DoneRight,CrossFit DoneRight,Female,37,5'8",172 lb,5:20,--,2:12,28:25,318,1:45,40:00,145 lb,120 lb,275 lb,210 lb,15
100116,Chris Majors,South East,CrossFit NorthRidge,CrossFit NorthRidge,Male,30,5'10",195 lb,--,--,--,--,--,--,--,--,--,--,--,--
100117,Mike Miller,Central East,,CrossFit Countdown,Male,44,5'7",235 lb,--,--,3:56,--,--,--,--,--,155 lb,400 lb,360 lb,--
100118,Arthur Santos,South East,Team Prestige,CrossFit Prestige,Male,31,6'0",180 lb,2:47,8:19,--,--,364,--,--,265 lb,215 lb,--,385 lb,--
100119,Jung Sanzo,North West,CrossFit North Seattle,CrossFit North Seattle,Female,39,4'11",115 lb,7:33,15:12,--,23:47,--,--,36:03,--,--,--,--,14
10012,Chris Bradley,North East,CrossFit Vagabond,Vagabond CrossFit,Male,43,6'2",219 lb,0:00,0:00,0:00,0:00,--,1:25,29:15,--,115 lb,315 lb,225 lb,--
100121,Aaron Contreras,Canada East,CF Plateau,CrossFit Plateau,Male,36,5'8",185 lb,--,--,--,--,--,--,--,--,--,--,--,--
100122,Kovas Palubinskas,North Central,CrossFit Amplify,CrossFit Amplify,Male,47,6'0",205 lb,--,--,--,--,207,--,--,--,--,--,--,--
100123,Julie Robinson,Mid Atlantic,CrossFit FBO,CrossFit FBO,Female,42,5'4",118 lb,8:03,--,--,--,491,--,27:57,105 lb,75 lb,225 lb,150 lb,--
